REF_AREA_LABEL,TIME_PERIOD,GDP_Growth,Employment_Thousands,Sector
South Africa,2017,1.157946951817351,16536.302734375,Sector: Total
South Africa,2017,1.157946951817351,849.6207731755255,Sector: Agriculture
South Africa,2017,1.157946951817351,414.533397544058,Sector: Mining
South Africa,2017,1.157946951817351,1855.8184205482744,Sector: Manufacturing
South Africa,2017,1.157946951817351,187.1115981720818,Sector: Utilities
South Africa,2017,1.157946951817351,1381.0282350954312,Sector: Construction
South Africa,2017,1.157946951817351,3307.477348657651,Sector: Trade services
South Africa,2017,1.157946951817351,1026.5208543081094,Sector: Transport services
South Africa,2017,1.157946951817351,2495.8658372282,Sector: Finance and business services
South Africa,2017,1.157946951817351,5018.325501096948,Sector: Other services
South Africa,2007,5.360474053941616,13808.7041015625,Sector: Total
South Africa,2007,5.360474053941616,914.352,Sector: Agriculture
South Africa,2007,5.360474053941616,525.292,Sector: Mining
South Africa,2007,5.360474053941616,2090.214,Sector: Manufacturing
South Africa,2007,5.360474053941616,121.761,Sector: Utilities
South Africa,2007,5.360474053941616,1185.832,Sector: Construction
South Africa,2007,5.360474053941616,3545.51904296875,Sector: Trade services
South Africa,2007,5.360474053941616,762.86,Sector: Transport services
South Africa,2007,5.360474053941616,1680.6729736328125,Sector: Finance and business services
South Africa,2007,5.360474053941616,2982.200927734375,Sector: Other services
South Africa,2013,2.485468008265883,15159.4501953125,Sector: Total
South Africa,2013,2.485468008265883,755.293,Sector: Agriculture
South Africa,2013,2.485468008265883,415.591,Sector: Mining
South Africa,2013,2.485468008265883,1852.184,Sector: Manufacturing
South Africa,2013,2.485468008265883,131.444,Sector: Utilities
South Africa,2013,2.485468008265883,1166.214,Sector: Construction
South Africa,2013,2.485468008265883,3201.31982421875,Sector: Trade services
South Africa,2013,2.485468008265883,931.968,Sector: Transport services
South Africa,2013,2.485468008265883,2038.821044921875,Sector: Finance and business services
South Africa,2013,2.485468008265883,4666.61572265625,Sector: Other services
South Africa,2016,0.6645523078581164,16188.3525390625,Sector: Total
South Africa,2016,0.6645523078581164,888.2544861436935,Sector: Agriculture
South Africa,2016,0.6645523078581164,425.228253725863,Sector: Mining
South Africa,2016,0.6645523078581164,1770.5415501356842,Sector: Manufacturing
South Africa,2016,0.6645523078581164,150.17526788312014,Sector: Utilities
South Africa,2016,0.6645523078581164,1409.379358214008,Sector: Construction
